"NMFS_POPID","SPAWNINGYEAR","NOSAIJ","NOSAEJ","PHOSIJ","PHOSEJ","NOSJF","HOSJF","TSAIJ","TSAEJ","AGE2PROP","AGE3PROP","AGE4PROP","AGE5PROP","AGE6PROP","AGE7PROP","ext_datasource","NOSAEJ_10yrGeomean","NOSAEJ_5yrGeomean","NOSAIJ_10yrGeomean","NOSAIJ_5yrGeomean","TSAEJ_10yrGeomean","TSAEJ_5yrGeomean","TSAIJ_10yrGeomean","TSAIJ_5yrGeomean"
101,1985,1021,999,0.23,0.23,0.022,0.022,1326,1297,0,0.022,0.594,0.384,0,0,"SPS",813,738,927,776,906,899,1034,945
101,1986,907,888,0.19,0.19,0.021,0.021,1120,1096,0,0.021,0.794,0.185,0,0,"SPS",883,838,950,876,1005,1026,1081,1072
101,1987,1421,1375,0.09,0.09,0.032,0.032,1561,1511,0,0.032,0.391,0.578,0,0,"SPS",845,997,906,1037,972,1189,1041,1237
101,1988,1356,1311,0.2,0.2,0.033,0.033,1695,1639,0,0.033,0.473,0.495,0,0,"SPS",787,1095,844,1134,925,1312,992,1360
101,1989,1154,1095,0.04,0.04,0.051,0.051,1202,1141,0,0.051,0.488,0.461,0,0,"SPS",842,1119,896,1155,989,1321,1053,1364
101,1990,1084,1069,0.03,0.03,0.014,0.014,1118,1102,0,0.014,0.517,0.469,0,0,"SPS",915,1134,953,1169,1072,1278,1116,1318
101,1991,595,521,0.04,0.04,0.125,0.125,620,542,0,0.125,0.644,0.231,0,0,"SPS",924,1019,970,1075,1067,1110,1121,1171
101,1992,1330,1276,0.2,0.2,0.04,0.04,1662,1596,0,0.04,0.84,0.12,0,0,"SPS",1000,1004,1049,1061,1155,1123,1211,1186
101,1993,932,932,0.32,0.32,0,0,1370,1370,0,0,0.26,0.74,0,0,"SPS",1013,938,1057,984,1192,1083,1243,1137
101,1994,245,245,0.21,0.21,0,0,310,310,0,0,0.26,0.74,0,0,"SPS",882,695,913,722,1050,835,1087,867
101,1995,35,35,0.24,0.24,0,0,46,46,0,0,0.26,0.74,0,0,"SPS",631,351,652,363,752,442,777,458
101,1996,19,17,0.39,0.39,0.08,0.08,31,29,0,0.08,0.89,0.02,0,0,"SPS",425,177,443,182,523,246,543,252
101,1997,271,271,0.22,0.22,0,0,347,347,0,0,0.7,0.3,0,0,"SPS",361,130,375,133,451,181,467,184
101,1998,20,20,0.51,0.51,0.02,0.02,41,40,0,0.02,0.41,0.57,0,0,"SPS",238,60,246,62,311,89,322,91
101,1999,45,45,0.61,0.61,0,0,116,116,0,0,1,0,0,0,"SPS",173,43,178,44,248,74,255,75
101,2000,117,96,0.88,0.88,0.18,0.18,979,803,0,0.18,0.46,0.36,0,0,"SPS",136,52,142,56,240,130,251,138
101,2001,1865,1828,0.83,0.83,0.02,0.02,10971,10752,0,0.02,0.79,0.18,0,0,"SPS",154,134,160,140,324,425,335,446
101,2002,343,339,0.87,0.87,0.01,0.01,2636,2610,0,0.01,0.37,0.62,0,0,"SPS",135,140,139,146,340,637,351,670
101,2003,57,40,0.95,0.95,0.3,0.3,1138,797,0,0.3,0.13,0.56,0,0,"SPS",98,161,105,181,322,1158,344,1302
101,2004,494,469,0.67,0.67,0.05,0.05,1496,1421,0,0.05,0.96,0,0,0,"SPS",105,257,113,292,375,1912,403,2171
101,2005,523,518,0.62,0.62,0.01,0.01,1376,1362,0,0.01,0.88,0.11,0,0,"SPS",137,360,148,393,526,2125,566,2324
101,2006,332,332,0.81,0.81,0,0,1748,1748,0,0,0.68,0.32,0,0,"SPS",185,256,197,279,793,1477,848,1609
101,2007,270,248,0.75,0.75,0.08,0.08,1078,992,0,0.08,0.25,0.67,0,0,"SPS",183,240,197,266,880,1217,949,1346
101,2008,301,280,0.7,0.7,0.07,0.07,1002,932,0,0.07,0.74,0.19,0,0,"SPS",239,355,259,370,1206,1256,1307,1312
101,2009,555,505,0.79,0.79,0.09,0.09,2641,2403,0,0.09,0.83,0.08,0,0,"SPS",304,360,332,379,1633,1395,1786,1470
101,2010,591,573,0.75,0.75,0.03,0.03,2363,2292,0,0.03,0.95,0.02,0,0,"SPS",363,367,391,388,1814,1548,1951,1638
101,2011,968,929,0.67,0.67,0.04,0.04,2934,2817,0,0.04,0.49,0.47,0,0,"SPS",340,451,366,481,1586,1703,1710,1817
101,2012,195,189,0.85,0.85,0.03,0.03,1298,1259,0,0.03,0.72,0.25,0,0,"SPS",320,427,346,451,1475,1787,1593,1885
101,2013,240,208,0.78,0.78,0.13,0.13,1089,947,0,0.13,0.74,0.13,0,0,"SPS",378,403,400,431,1501,1792,1586,1917
