"NMFS_POPID","SPAWNINGYEAR","NOSAEJ_10yrGeomean","NOSAEJ_5yrGeomean","NOSAIJ_10yrGeomean","NOSAIJ_5yrGeomean","TSAEJ_10yrGeomean","TSAEJ_5yrGeomean","TSAIJ_10yrGeomean","TSAIJ_5yrGeomean"
7,2001,NA,NA,NA,NA,619,786,NA,NA
7,2002,NA,NA,NA,NA,836,1021,NA,NA
7,2003,NA,NA,NA,NA,1117,1868,NA,NA
7,2004,NA,NA,NA,NA,1354,2771,NA,NA
7,2005,NA,NA,NA,NA,1678,4967,NA,NA
7,2006,NA,NA,NA,NA,1592,3225,NA,NA
7,2007,NA,NA,NA,NA,1235,1493,NA,NA
7,2008,NA,NA,NA,NA,1407,1059,NA,NA
7,2009,NA,NA,NA,NA,1468,778,NA,NA
7,2010,NA,NA,NA,NA,1821,668,NA,NA
7,2011,NA,NA,NA,NA,1656,850,NA,NA
7,2012,NA,NA,NA,NA,1150,885,NA,NA
7,2013,NA,81,NA,NA,869,713,NA,NA
7,2014,NA,91,NA,NA,690,612,NA,NA
7,2015,106,101,NA,NA,624,583,NA,NA
7,2016,104,109,NA,NA,632,470,NA,NA
7,2017,100,114,NA,NA,608,417,NA,NA
8,1967,NA,NA,NA,NA,NA,121,NA,NA
8,1968,NA,NA,NA,NA,NA,149,NA,NA
8,1969,NA,NA,NA,NA,146,159,NA,NA
8,1970,NA,NA,NA,NA,166,194,NA,NA
8,1971,NA,NA,NA,NA,195,266,NA,NA
8,1972,NA,NA,NA,NA,224,366,NA,NA
8,1973,NA,NA,NA,NA,243,396,NA,NA
8,1974,NA,NA,NA,NA,294,543,NA,NA
8,1975,NA,NA,NA,NA,347,622,NA,NA
8,1976,NA,NA,NA,NA,432,702,NA,NA
8,1977,NA,NA,NA,NA,549,824,NA,NA
8,1978,NA,NA,NA,NA,675,1151,NA,NA
8,1979,NA,NA,NA,NA,845,1314,NA,NA
8,1980,NA,NA,NA,NA,790,1005,NA,NA
8,1981,NA,NA,NA,NA,720,739,NA,NA
8,1982,NA,NA,NA,NA,687,574,NA,NA
8,1983,NA,NA,NA,NA,731,464,NA,NA
8,1984,NA,NA,NA,NA,665,336,NA,NA
8,1985,NA,NA,NA,NA,674,452,NA,NA
8,1986,NA,NA,NA,NA,658,586,NA,NA
8,1987,NA,NA,NA,NA,638,709,NA,NA
8,1988,NA,NA,NA,NA,578,720,NA,NA
8,1989,NA,NA,NA,NA,555,916,NA,NA
8,1990,NA,NA,NA,NA,580,744,NA,NA
8,1991,NA,NA,NA,NA,565,544,NA,NA
8,1992,NA,NA,NA,NA,354,177,NA,NA
8,1993,NA,NA,NA,NA,259,93,NA,NA
8,1994,NA,NA,NA,NA,220,53,NA,NA
8,1995,NA,NA,NA,NA,157,33,NA,NA
8,1996,NA,NA,NA,NA,143,38,NA,NA
8,1997,NA,NA,NA,NA,91,47,NA,NA
8,1998,NA,NA,NA,NA,72,56,NA,NA
8,1999,NA,NA,NA,NA,65,81,NA,NA
8,2000,NA,NA,NA,NA,58,101,NA,NA
8,2001,NA,NA,NA,NA,59,94,NA,NA
8,2002,NA,NA,NA,NA,80,136,NA,NA
8,2003,NA,NA,NA,NA,100,180,NA,NA
8,2004,NA,NA,NA,NA,132,214,NA,NA
8,2005,NA,NA,NA,NA,152,228,NA,NA
8,2006,NA,NA,NA,NA,153,251,NA,NA
8,2007,NA,NA,NA,NA,189,261,NA,NA
8,2008,NA,NA,NA,NA,189,199,NA,NA
8,2009,NA,NA,NA,NA,201,188,NA,NA
8,2010,NA,NA,NA,NA,214,201,NA,NA
8,2011,NA,77,NA,NA,226,205,NA,NA
8,2012,NA,66,NA,NA,243,227,NA,NA
8,2013,70,81,NA,NA,282,401,NA,NA
8,2014,80,79,NA,NA,290,448,NA,NA
8,2015,91,96,NA,NA,349,605,NA,NA
8,2016,89,101,NA,NA,346,586,NA,NA
8,2017,101,154,NA,NA,413,754,NA,NA
9,1995,NA,NA,NA,12,NA,NA,NA,18
9,1996,NA,NA,NA,12,NA,NA,NA,18
9,1997,NA,NA,13,13,NA,NA,19,19
9,1998,NA,NA,15,18,NA,NA,21,25
9,1999,NA,NA,15,17,NA,NA,21,21
9,2000,NA,NA,17,22,NA,NA,22,26
9,2001,NA,NA,18,26,NA,NA,23,31
9,2002,NA,NA,19,28,NA,NA,25,33
9,2003,NA,NA,24,31,NA,NA,30,36
9,2004,NA,NA,24,35,NA,NA,29,40
9,2005,NA,NA,29,37,NA,NA,34,43
9,2006,NA,NA,33,41,NA,NA,38,46
9,2007,NA,NA,35,44,NA,NA,40,49
9,2008,NA,NA,33,36,NA,NA,38,41
9,2009,NA,NA,38,41,NA,NA,43,46
9,2010,NA,NA,39,40,NA,NA,44,46
9,2011,NA,NA,40,NA,NA,NA,45,NA
9,2012,NA,NA,41,NA,NA,NA,47,NA
9,2013,NA,NA,39,NA,NA,NA,44,NA
10,1995,NA,31,NA,31,NA,276,NA,276
10,1996,NA,39,NA,39,NA,237,NA,238
10,1997,43,45,44,45,260,234,260,235
10,1998,47,51,48,51,229,172,233,175
10,1999,42,47,44,49,209,140,213,145
10,2000,45,59,46,61,190,141,216,178
10,2001,44,50,46,53,214,194,256,276
10,2002,47,50,49,53,240,246,288,353
10,2003,52,53,54,56,237,328,286,465
10,2004,60,77,63,82,236,396,299,616
