"HUC12","HUC_12_NAME","HUC10","HUC_10_NAME","HUC8","HUC_8_NAME","Latitude","Longitude"
"170701040502","Schoolhouse Canyon-Willow Creek",1707010405,"Lower Willow Creek",17070104,"Willow",45.63515,-119.9611
"170701040503","Willow Creek",1707010405,"Lower Willow Creek",17070104,"Willow",45.7423,-120.0331
"170701050101","Spanish Hollow Creek",1707010501,"Spanish Hollow-Columbia River",17070105,"Middle Columbia-Hood",45.60257,-120.7122
"170701050102","Frank Fulton Canyon",1707010501,"Spanish Hollow-Columbia River",17070105,"Middle Columbia-Hood",45.5819,-120.8004
"170701050103","Hells Gate Canyon-Columbia River",1707010501,"Spanish Hollow-Columbia River",17070105,"Middle Columbia-Hood",45.68377,-120.778
"170701050201","Upper Eightmile Creek",1707010502,"Eightmile Creek",17070105,"Middle Columbia-Hood",45.4261,-121.3679
"170701050202","Middle Eightmile Creek",1707010502,"Eightmile Creek",17070105,"Middle Columbia-Hood",45.48628,-121.2026
"170701050203","Fivemile Creek",1707010502,"Eightmile Creek",17070105,"Middle Columbia-Hood",45.49409,-121.2871
"170701050204","Lower Eightmile Creek",1707010502,"Eightmile Creek",17070105,"Middle Columbia-Hood",45.55231,-121.0673
"170701050301","Headwaters Fifteenmile Creek",1707010503,"Fifteenmile Creek",17070105,"Middle Columbia-Hood",45.38923,-121.3755
"170701050302","Upper Fifteenmile Creek",1707010503,"Fifteenmile Creek",17070105,"Middle Columbia-Hood",45.41536,-121.2007
"170701050303","Upper Dry Creek",1707010503,"Fifteenmile Creek",17070105,"Middle Columbia-Hood",45.36361,-121.1125
"170701050304","Lower Dry Creek",1707010503,"Fifteenmile Creek",17070105,"Middle Columbia-Hood",45.43991,-121.0374
"170701050305","Middle Fifteenmile Creek",1707010503,"Fifteenmile Creek",17070105,"Middle Columbia-Hood",45.50248,-120.9705
"170701050306","Lower Fifteenmile Creek",1707010503,"Fifteenmile Creek",17070105,"Middle Columbia-Hood",45.60047,-121.0022
"170701050401","Threemile Creek-Columbia River",1707010504,"Mill Creek-Columbia River",17070105,"Middle Columbia-Hood",45.66371,-121.0527
"170701050403","North Fork Mill Creek-South Fork Mill Creek",1707010504,"Mill Creek-Columbia River",17070105,"Middle Columbia-Hood",45.49229,-121.4279
