"HUC12","braided","island_bra","meandering","straight","confined","certainty","count"
"170602011603",3.28888888888889,13.7555555555556,3.31111111111111,579.644444444444,400,1.64444444444444,45
"170602011604",50.4848484848485,24.4848484848485,72.9545454545455,655.106060606061,196.969696969697,3.06060606060606,66
"170602011606",45.6962025316456,212.037974683544,57.5569620253165,672.050632911392,12.6582278481013,3.53164556962025,79
"170602011701",0,0,7,993,0,2,1
"170602011702",13.8333333333333,119.75,93.7916666666667,626.791666666667,145.833333333333,2.58333333333333,48
"170602011703",12.1515151515152,88.5757575757576,27.6060606060606,598.939393939394,272.727272727273,2.66666666666667,33
"170602011704",20.6222222222222,189.422222222222,114.511111111111,275.444444444444,400,1.97777777777778,45
"170602011801",6.95652173913043,727.782608695652,221.304347826087,0.478260869565217,43.4782608695652,2.43478260869565,23
"170602011802",94.3561643835616,16.041095890411,46.1369863013699,637.986301369863,205.479452054795,2.63013698630137,73
"170602011803",93.4666666666667,706.133333333333,17.1333333333333,49.9333333333333,133.333333333333,2.33333333333333,30
"170602011805",19.4897959183673,606.408163265306,4.04081632653061,2.71428571428571,367.34693877551,1.55102040816327,49
"170602020101",154.845360824742,60.5463917525773,25.659793814433,697.092783505155,61.8556701030928,3.4020618556701,97
"170602020102",1.75,8.75,639,350.5,0,4,8
"170602020103",29.2727272727273,30.7272727272727,230.136363636364,709.863636363636,0,3.72727272727273,44
"170602020201",58.5263157894737,35.9473684210526,549.052631578947,356.473684210526,0,4,19
"170602020202",26.8181818181818,24,285.181818181818,664,0,4,11
"170602020203",12.5882352941176,2.47058823529412,1.41176470588235,924.705882352941,58.8235294117647,2.52941176470588,17
"170602020204",106.311688311688,45.4805194805195,57.974025974026,777.246753246753,12.987012987013,3.45454545454545,77
"170602020205",229.575757575758,88.5530303030303,236.916666666667,391.924242424242,53.030303030303,3.78787878787879,132
"170602020206",20.4285714285714,13.6785714285714,20.3214285714286,767,178.571428571429,2.75,28
"170602020207",32.3880597014925,60.3134328358209,6.14925373134328,751.89552238806,149.253731343284,2.80597014925373,67
"170602020209",155.385185185185,122.074074074074,267.711111111111,454.82962962963,0,3.94814814814815,135
"170602020301",48.8823529411765,15.5588235294118,0.382352941176471,699.882352941176,235.294117647059,1.85294117647059,34
"170602020303",136.608695652174,134.869565217391,269.304347826087,444.724637681159,14.4927536231884,3.46376811594203,69
"170602020304",34.7619047619048,37.4761904761905,11.5238095238095,487.666666666667,428.571428571429,2.0952380952381,21
"170602020305",49.936170212766,42,141.617021276596,745.170212765957,21.2765957446809,3.53191489361702,47
"170602020306",4.88235294117647,15.1764705882353,1.05882352941176,214.176470588235,764.705882352941,0.588235294117647,17
"170602020308",0,5,993,2,0,3,1
"170602020312",7.66666666666667,7.72222222222222,15.0555555555556,802.888888888889,166.666666666667,2.33333333333333,18
"170602020313",62.2227722772277,96.6188118811881,557.70297029703,283.455445544554,0,3.72277227722772,202
"170602030101",4.61111111111111,6,0.222222222222222,211.388888888889,777.777777777778,0.5,18
"170602030102",8.17647058823529,62.7647058823529,67.7058823529412,743.705882352941,117.647058823529,2.52941176470588,17
"170602030103",15.0740740740741,36.3703703703704,38.3333333333333,688,222.222222222222,2.12962962962963,54
"170602030104",27.6909090909091,483.781818181818,10.2363636363636,41.9272727272727,436.363636363636,1.47272727272727,55
"170602030203",16.8055555555556,250.944444444444,5.75,4.27777777777778,722.222222222222,0.722222222222222,36
"170602030204",6.66666666666667,62.3333333333333,1.66666666666667,262.666666666667,666.666666666667,1.33333333333333,3
"170602030205",11.3333333333333,74,21.6666666666667,559.666666666667,333.333333333333,2.66666666666667,9
"170602030206",20.7058823529412,119.21568627451,3.25490196078431,660.745098039216,196.078431372549,2.47058823529412,51
"170602030301",4.44827586206897,19.4137931034483,1.86206896551724,388.068965517241,586.206896551724,1.31034482758621,29
"170602030302",1.75,6.58333333333333,1.16666666666667,240.5,750,1,12
"170602030303",3.19230769230769,14.0384615384615,1,327.923076923077,653.846153846154,1.07692307692308,26
"170602030304",10.1052631578947,239.912280701754,3.87719298245614,9.26315789473684,736.842105263158,0.631578947368421,57
"170602030305",9.2258064516129,541.516129032258,9.41935483870968,20.4838709677419,419.354838709677,1.2258064516129,31
"170602030401",22.9555555555556,33.2444444444444,58,574.688888888889,311.111111111111,2.17777777777778,45
"170602030402",0.153846153846154,0.384615384615385,3.07692307692308,765.615384615385,230.769230769231,1.92307692307692,13
"170602030403",30.8378378378378,822.432432432432,19.7837837837838,18.8378378378378,108.108108108108,2.40540540540541,37
"170602030404",71.76,767.76,29.28,51.2,80,2.56,25
"170602030501",7.66666666666667,10.2592592592593,0.222222222222222,278.148148148148,703.703703703704,0.740740740740741,27
