"OBJECTID","LocationID","Species","Run","UseType","HUC10","HUC12","CA_POPID","Count"
67,"1173185460326","Steelhead","Summer","Spawning and rearing","1706010607","170601060709",83,6
67,"1192269462537","Chinook","Spring","Migration only","1702001107","170200110706",47,2
68,"1172535461679","Steelhead","Summer","Spawning and rearing","1706010302","170601030206",90,3
68,"1199789478034","Chinook","Spring","Migration only","1702001002","170200100207",45,53
68,"1199789478034","Chinook","Spring","Migration only","1702001002","170200100209",45,52
69,"1174134457873","Steelhead","Summer","Migration only","1706010602","170601060207",83,1
69,"1174134457873","Steelhead","Summer","Migration only","1706010602","170601060205",83,63
69,"1198933480501","Chinook","Spring","Spawning and rearing","1702000806","170200080602",46,5
69,"1198933480501","Chinook","Spring","Spawning and rearing","1702001002","170200100205",45,3
70,"1169884462992","Steelhead","Summer","Migration only","1706010303","170601030305",90,1
71,"1172320458226","Steelhead","Summer","Migration only","1706010605","170601060507",85,104
71,"1192269462537","Chinook","Spring","Rearing and migration","1702001107","170200110701",47,3
72,"1169845460718","Steelhead","Summer","Spawning and rearing","1706010303","170601030303",90,1
72,"1169845460718","Steelhead","Summer","Spawning and rearing","1706010607","170601060711",83,1
72,"1194772462770","Chinook","Spring","Rearing and migration","1702001107","170200110701",47,2
73,"1170816461344","Steelhead","Summer","Migration only","1706010303","170601030304",90,8
73,"1186823460337","Chinook","Spring","Rearing and migration","1702001107","170200110701",47,3
74,"1170059461778","Steelhead","Summer","Migration only","1706010303","170601030302",90,1
74,"1192419462419","Chinook","Spring","Migration only","1702001107","170200110701",47,3
75,"1171896461590","Steelhead","Summer","Migration only","1706010302","170601030206",90,5
75,"1171896461590","Steelhead","Summer","Migration only","1706010302","170601030208",90,1
75,"1192269462537","Chinook","Spring","Rearing and migration","1702001107","170200110701",47,1
76,"1170845457947","Steelhead","Summer","Migration only","1706010604","170601060407",85,6
77,"1170849461270","Steelhead","Summer","Migration only","1706010303","170601030304",90,5
78,"1172521460418","Steelhead","Summer","Migration only","1706010607","170601060708",83,2
79,"1171227460404","Steelhead","Summer","Migration only","1706010607","170601060711",83,6
80,"1169845460718","Steelhead","Summer","Spawning and rearing","1706010607","170601060711",83,40
81,"1172521460418","Steelhead","Summer","Rearing and migration","1706010607","170601060709",83,1
82,"1175710460351","Steelhead","Summer","Rearing and migration","1706010603","170601060310",83,3
83,"1170646459584","Steelhead","Summer","Migration only","1706010606","170601060604",85,34
83,"1170646459584","Steelhead","Summer","Migration only","1706010606","170601060606",85,1
84,"1169845460718","Steelhead","Summer","Migration only","1706010601","170601060105",83,19
84,"1169845460718","Steelhead","Summer","Migration only","1706010601","170601060106",83,29
85,"1171905456640","Steelhead","Summer","Migration only","1706010605","170601060502",85,4
86,"1172521460418","Steelhead","Summer","Spawning and rearing","1706010607","170601060708",83,11
87,"1171098463147","Steelhead","Summer","Migration only","1706010302","170601030207",90,5
87,"1190296461886","Chinook","Spring","Migration only","1706030613","170603061308",2,1
88,"1170844457359","Steelhead","Summer","Migration only","1706010604","170601060407",85,8
89,"1169650462050","Steelhead","Summer","Spawning and rearing","1706010303","170601030302",90,24
89,"1200653483267","Chinook","Spring","Rearing and migration","1702000806","170200080610",46,1
90,"1172913462734","Steelhead","Summer","Spawning and rearing","1706010302","170601030203",90,40
90,"1172913462734","Steelhead","Summer","Spawning and rearing","1706010302","170601030205",90,1
91,"1172431461689","Steelhead","Summer","Spawning and rearing","1706010302","170601030206",90,2
92,"1171591457323","Steelhead","Summer","Migration only","1706010605","170601060504",85,8
93,"1171449462142","Steelhead","Summer","Migration only","1706010302","170601030207",90,4
94,"1171999464202","Steelhead","Summer","Migration only","1706010702","170601070201",90,1
94,"1204364486012","Chinook","Spring","Spawning and rearing","1702000802","170200080204",46,21
94,"1204364486012","Chinook","Spring","Spawning and rearing","1702000806","170200080602",46,1
